Date,SampleSize,Cohort
2016-12-12,9,Popart-Zambia-Copperbelt
2016-12-14,6,Popart-Zambia-Copperbelt
2016-11-23,8,Popart-Zambia-Copperbelt
2016-11-15,5,Popart-Zambia-Copperbelt
2016-11-16,7,Popart-Zambia-Copperbelt
2016-11-24,4,Popart-Zambia-Copperbelt
2016-11-30,5,Popart-Zambia-Copperbelt
2016-12-08,6,Popart-Zambia-Copperbelt
2016-11-28,10,Popart-Zambia-Copperbelt
2016-11-25,6,Popart-Zambia-Copperbelt
2016-12-09,4,Popart-Zambia-Copperbelt
2016-12-06,5,Popart-Zambia-Copperbelt
2016-11-17,3,Popart-Zambia-Copperbelt
2016-11-22,3,Popart-Zambia-Copperbelt
2016-12-15,1,Popart-Zambia-Copperbelt
2016-12-13,4,Popart-Zambia-Copperbelt
2016-12-01,2,Popart-Zambia-Copperbelt
2017-04-06,3,Popart-Zambia-Copperbelt
2017-04-10,6,Popart-Zambia-Copperbelt
2017-04-11,8,Popart-Zambia-Copperbelt
2017-04-12,2,Popart-Zambia-Copperbelt
2017-04-13,3,Popart-Zambia-Copperbelt
2017-04-18,6,Popart-Zambia-Copperbelt
2017-04-19,8,Popart-Zambia-Copperbelt
2017-04-20,12,Popart-Zambia-Copperbelt
2017-02-14,9,Popart-Zambia-Copperbelt
2017-02-15,11,Popart-Zambia-Copperbelt
2017-02-16,4,Popart-Zambia-Copperbelt
2017-03-14,5,Popart-Zambia-Copperbelt
2017-03-15,10,Popart-Zambia-Copperbelt
2017-03-16,6,Popart-Zambia-Copperbelt
2017-02-17,6,Popart-Zambia-Copperbelt
2017-02-20,6,Popart-Zambia-Copperbelt
2017-02-21,8,Popart-Zambia-Copperbelt
2017-02-22,6,Popart-Zambia-Copperbelt
2017-02-23,7,Popart-Zambia-Copperbelt
2017-01-30,8,Popart-Zambia-Copperbelt
2017-01-31,9,Popart-Zambia-Copperbelt
2017-02-01,7,Popart-Zambia-Copperbelt
2017-02-02,9,Popart-Zambia-Copperbelt
2017-02-09,7,Popart-Zambia-Copperbelt
2017-02-13,5,Popart-Zambia-Copperbelt
2017-04-03,13,Popart-Zambia-Copperbelt
2017-04-05,5,Popart-Zambia-Copperbelt
